OBJECTID,FID_OutputLines,FID_Intersections
1636,1512,24954
1637,1517,24916
1638,1517,24917
1639,1517,24918
1640,1518,24958
1641,1518,24959
1642,1518,24960
1643,1519,24943
1644,1519,24944
1645,1519,24945
1646,1520,24934
1647,1520,24935
1648,1520,24936
1649,1522,24946
1650,1522,24947
1651,1522,24948
1652,1523,24925
1653,1523,24926
1654,1523,24927
1655,1524,24922
1656,1524,24923
1657,1524,24924
1658,1525,24940
1659,1525,24941
1660,1525,24942
1661,1527,24919
1662,1527,24920
1663,1527,24921
1664,1531,24937
1665,1531,24938
1666,1531,24939
1667,1532,24928
1668,1532,24929
1669,1532,24930
1670,1535,24961
1671,1535,24962
1672,1535,24963
1673,1536,24964
1674,1536,24965
1675,1536,24966
1676,1541,24973
1677,1541,24974
1678,1541,24975
1679,1543,24970
1680,1543,24971
1681,1543,24972
1682,1545,24967
1683,1545,24968
1684,1545,24969
1685,1547,24982
1686,1547,24983
1687,1547,24984
1688,1548,24976
1689,1548,24977
1690,1548,24978
1691,1549,24979
1692,1549,24980
1693,1549,24981
1694,1550,24997
1695,1550,24998
1696,1550,24999
1697,1552,25003
1698,1552,25004
1699,1552,25005
1700,1642,25321
1701,1642,25322
1702,1642,25323
1703,1656,25330
1704,1656,25331
1705,1656,25332
1706,1658,25336
1707,1658,25337
1708,1658,25338
1709,1659,25327
1710,1659,25328
1711,1659,25329
1712,1666,25333
1713,1666,25334
1714,1666,25335
1715,1667,25324
1716,1667,25325
1717,1667,25326
1718,1694,25270
1719,1694,25271
1720,1694,25272
1721,1695,25252
