OBJECTID,Road_OBJECTID,LINEARID,Long,Lat
20840,17498,110459342265,-87.923371,43.049642
20841,37375,110459336056,-87.923371,43.049642
20842,17503,1102213929756,-87.966681,43.076993
20843,17504,1102213929756,-87.966681,43.076993
20844,37832,110459336991,-87.966681,43.076993
20845,17520,110459342416,-87.930878,43.085889
20846,31048,110459336314,-87.930878,43.085889
20847,31049,110459336314,-87.930878,43.085889
20848,17536,110459342890,-87.914537,43.036755
20849,17537,110459342890,-87.914537,43.036755
20850,35541,110459335914,-87.914537,43.036755
20851,17536,110459342890,-87.913052,43.036652
20852,31364,110459335897,-87.913052,43.036652
20853,31365,110459335897,-87.913052,43.036652
20854,17537,110459342890,-87.916015,43.036769
20855,37121,110459335932,-87.916015,43.036769
20856,37143,110459335932,-87.916015,43.036769
20857,17538,110459343041,-88.050505,43.105821
20858,31167,110459339316,-88.050505,43.105821
20859,31168,110459339316,-88.050505,43.105821
20860,17539,1102213799602,-88.041383,43.091316
20861,17540,1102213799602,-88.041383,43.091316
20862,36698,110459339203,-88.041383,43.091316
20863,17541,110459339815,-87.967321,43.07771
20864,33877,1102213925671,-87.967321,43.07771
