OBJECTID,LINEARID,FULLNAME,RTTYP,MTFCC,LatStart,LongStart,LatEnd,LongEnd,SegLength,Shape_Length
237,110459342022,Oriole Ct,M,S1400,42.931887,-87.985273,42.932212,-87.986441,111.4956254,0.001212373
238,110459347624,Churchwood Cir,M,S1400,42.937532,-87.989965,42.93779,-87.991913,233.2661284,0.000288321
239,110459347624,Churchwood Cir,M,S1400,42.937532,-87.989965,42.93779,-87.991913,233.2661284,0.00027184
240,110459347624,Churchwood Cir,M,S1400,42.937532,-87.989965,42.93779,-87.991913,233.2661284,0.001797149
241,110459346477,Lakeside Dr,M,S1400,42.94324,-87.979578,42.942697,-87.980817,578.5307976,0.006053966
242,110459347232,Greenview Ln,M,S1400,42.937571,-88.023186,42.936604,-88.023456,714.7559995,0.004278539
243,110459347232,Greenview Ln,M,S1400,42.937571,-88.023186,42.936604,-88.023456,714.7559995,0.003381964
244,1102382665971, , ,S1400,42.963877,-88.064171,42.964163,-88.063981,38.66169559,0.000343359
245,1104492729479,State Hwy 24,S,S1200,42.937552,-88.045971,42.933227,-88.069585,2259.582819,0.000630909
246,1104492729479,State Hwy 24,S,S1200,42.937552,-88.045971,42.933227,-88.069585,2259.582819,0.0006091
247,1104492729479,State Hwy 24,S,S1200,42.937552,-88.045971,42.933227,-88.069585,2259.582819,0.000250032
248,1104492729479,State Hwy 24,S,S1200,42.937552,-88.045971,42.933227,-88.069585,2259.582819,0.000607665
